,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
1189,A1 Garam Masala,Yes,No,3.6,25,Kanakapura Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",600,Delivery
1190,Punjabi Corner,Yes,No,3.9,201,Bannerghatta Road,Quick Bites,"North Indian, Chinese",250,Delivery
1191,Guru Palace,Yes,No,3.1,106,Bannerghatta Road,Casual Dining,"Chinese, North Indian",450,Delivery
1192,#refuel,Yes,No,3.7,37,Bannerghatta Road,Cafe,"Cafe, Beverages",400,Delivery
1193,Biggies Burger 'n' More,Yes,No,4.1,203,JP Nagar,"Quick Bites, Cafe","Cafe, Burger, Beverages",650,Delivery
1194,Zeeshan,Yes,No,3.1,320,JP Nagar,Casual Dining,"North Indian, Mughlai, Biryani, Rolls",600,Delivery
1195,Ambara Gardenia,Yes,Yes,3.8,257,Bannerghatta Road,Casual Dining,"Andhra, North Indian, Chinese, Seafood",800,Delivery
1196,LayerBite,Yes,No,3.8,9,BTM,Bakery,"Bakery, Desserts, Beverages",450,Delivery
1197,Five Star Chicken,Yes,No,3.2,100,Bannerghatta Road,Quick Bites,"Fast Food, Burger",250,Delivery
1198,Bhavani Chats,Yes,No,3.6,34,Bannerghatta Road,Quick Bites,Street Food,100,Delivery
1199,Tandoor Chai House,Yes,No,0.0,0,JP Nagar,Quick Bites,"Street Food, Sandwich, Rolls, Beverages",200,Delivery
1200,Shawarma Inc,Yes,No,3.2,4,Bannerghatta Road,Food Court,"Rolls, Lebanese",250,Delivery
1201,More Pizza,Yes,No,3.8,46,JP Nagar,Quick Bites,Pizza,450,Delivery
1202,Appana Restaurant,Yes,No,0.0,0,BTM,Quick Bites,North Indian,300,Delivery
1203,Butterly,Yes,No,3.9,102,Bannerghatta Road,Cafe,"Cafe, Bakery, Beverages",450,Delivery
1204,Crafted Plate,Yes,Yes,4.2,237,JP Nagar,"Casual Dining, Cafe","Cafe, Asian, Burger, Continental, Italian, Salad",600,Delivery
1205,Shetty's Kitchen,Yes,No,3.7,108,Bannerghatta Road,Quick Bites,Mangalorean,600,Delivery
1206,Machali Port,Yes,No,3.9,34,JP Nagar,Casual Dining,"Mangalorean, Seafood, North Indian",750,Delivery
1207,Naati Manae,Yes,No,3.1,10,JP Nagar,Food Court,"South Indian, Biryani",500,Delivery
1209,Mad Over Biryani,Yes,No,3.3,8,JP Nagar,"Takeaway, Delivery","Biryani, North Indian",600,Delivery
1210,Garma Garam,Yes,No,3.2,144,Bannerghatta Road,Quick Bites,"North Indian, Chinese, Biryani, Rolls",350,Delivery
1211,Sambram Biriyani Paradise,Yes,No,3.5,97,JP Nagar,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery
1212,Mr. Meetharam,Yes,No,3.2,34,JP Nagar,Quick Bites,"Mithai, Street Food",150,Delivery
1213,The Coastal Crew by Fujian on 24th,Yes,Yes,4.2,1028,JP Nagar,"Casual Dining, Bar","Chinese, Thai, Seafood, North Indian, Momos",1100,Delivery
1214,BIB - Breakfast in the Box,Yes,No,3.8,84,Bannerghatta Road,Delivery,"American, Sandwich",600,Delivery
1215,Angel Restaurant,Yes,No,2.8,165,Bannerghatta Road,Quick Bites,"Kerala, South Indian, North Indian",450,Delivery
1216,Wow Momo,Yes,No,3.3,12,JP Nagar,Quick Bites,"Tibetan, Momos",300,Delivery
1217,Pizza Da Dhaba,Yes,No,2.9,57,Bannerghatta Road,Quick Bites,"Fast Food, Pizza",400,Delivery
1218,Kalpavruksha,Yes,No,3.9,99,Bannerghatta Road,Quick Bites,"South Indian, North Indian",300,Delivery
1220,Juice Land,Yes,No,3.9,141,Bannerghatta Road,Beverage Shop,"Juices, Beverages",300,Delivery
1222,Tandoor And Spice,Yes,No,4.0,181,JP Nagar,Casual Dining,"North Indian, Chinese, Biryani, Hyderabadi",550,Delivery
1223,Kitchen24,Yes,No,0.0,0,BTM,Takeaway,"Italian, Continental, Chinese, Thai, American, Arabian",300,Delivery
1224,Rock Stone Ice Cream Factory,Yes,No,4.0,128,BTM,Dessert Parlor,Ice Cream,230,Delivery
1225,Paratha Plaza,Yes,No,3.8,171,JP Nagar,Quick Bites,North Indian,250,Delivery
1226,Krishna Vijayashree,Yes,No,3.5,13,Bannerghatta Road,Casual Dining,"Biryani, North Indian, Chinese",700,Delivery
1227,Soup Station,Yes,No,3.6,9,Bannerghatta Road,Quick Bites,Continental,250,Delivery
1228,Tasty Point,Yes,No,3.3,9,Bannerghatta Road,Delivery,"Burger, Sandwich, Finger Food",300,Delivery
1229,Natural Mumbai Kulfi,Yes,No,3.5,8,BTM,Dessert Parlor,Ice Cream,130,Delivery
1230,Namma Kudla,Yes,No,3.9,200,JP Nagar,Quick Bites,"Mangalorean, North Indian, Chinese, Seafood",400,Delivery
1231,Triveni,Yes,No,3.6,33,Bannerghatta Road,Casual Dining,"Andhra, North Indian, Chinese",600,Delivery
1232,Wangs Kitchen,Yes,No,3.0,114,Bannerghatta Road,Casual Dining,Chinese,1000,Delivery
1233,RK Fresh Food,Yes,No,3.5,12,BTM,Quick Bites,Fast Food,300,Delivery
1234,Alif Restaurant,Yes,No,3.6,26,JP Nagar,Casual Dining,"North Indian, Chinese",600,Delivery
1235,Dine One One Restaurant,Yes,No,3.6,15,Bannerghatta Road,Casual Dining,"South Indian, Continental, North Indian",500,Delivery
1236,Pallavas Veg Cuisine,Yes,No,3.6,46,Bannerghatta Road,Casual Dining,"North Indian, South Indian, Chinese",600,Delivery
1237,The Food Cottage,Yes,No,3.7,48,BTM,Quick Bites,"Hyderabadi, North Indian",350,Delivery
1239,Brundhavana Pure Veg,Yes,No,3.7,98,JP Nagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery
1240,Spice Up,Yes,No,3.8,146,JP Nagar,Casual Dining,Chinese,600,Delivery
1242,Suryawanshi,Yes,No,3.7,16,Bannerghatta Road,Casual Dining,"Maharashtrian, Seafood",700,Delivery
1244,Perch,Yes,No,0.0,0,BTM,Quick Bites,Italian,350,Delivery
1245,Tempteys,Yes,No,4.2,248,BTM,"Dessert Parlor, Beverage Shop",Beverages,500,Delivery
1247,DeliBoin,Yes,No,3.7,67,BTM,Delivery,South Indian,150,Delivery
1248,FRYBIES,Yes,No,3.3,15,Bannerghatta Road,Quick Bites,Fast Food,350,Delivery
1249,Crumb Together,Yes,Yes,4.1,583,JP Nagar,"Casual Dining, Bar","Continental, Finger Food, North Indian, Chinese",1200,Delivery
1250,The Foodyz,Yes,No,3.7,42,JP Nagar,Quick Bites,"North Indian, Chinese",500,Delivery
1251,Bean D'er Cafe,Yes,No,3.5,8,JP Nagar,Quick Bites,"Tamil, Fast Food",250,Delivery
1252,Chaat Chatore,Yes,No,3.1,19,Bannerghatta Road,Quick Bites,Fast Food,300,Delivery
1253,Black Mug Cafe,Yes,No,3.7,171,Bannerghatta Road,Cafe,Cafe,300,Delivery
1254,Taste Of Kolkata,Yes,No,3.1,59,BTM,Quick Bites,"Bengali, Chinese, Rolls",400,Delivery
1255,Y Not Restaurant,Yes,No,3.1,4,JP Nagar,"Takeaway, Delivery",Fast Food,300,Delivery
1256,24/7 Food Service,Yes,No,3.0,7,JP Nagar,"Takeaway, Delivery","South Indian, North Indian, Fast Food",300,Delivery
1258,Meat And Eat,Yes,No,3.7,79,JP Nagar,Quick Bites,"Fast Food, Burger",500,Delivery
1259,China Town 07,Yes,No,0.0,0,BTM,Quick Bites,"Chinese, Momos",300,Delivery
1260,Modern Restaurant,Yes,No,3.0,17,BTM,Casual Dining,"North Indian, Chinese",450,Delivery
1261,Vinaya Coffee Moments,Yes,No,3.7,46,JP Nagar,Cafe,"Burger, Cafe, Desserts, Sandwich, Italian",450,Delivery
1262,Burrito Boys,Yes,No,3.0,6,Bannerghatta Road,"Food Court, Quick Bites","Mexican, Tex-Mex",400,Delivery
1264,Trippy Paradise,Yes,No,2.6,59,BTM,Cafe,Cafe,900,Delivery
1266,Biryani Magic,Yes,No,3.5,31,BTM,Quick Bites,"North Indian, Biryani",300,Delivery
1268,Nagarjuna,No,No,4.2,1278,Bannerghatta Road,Casual Dining,"Andhra, Biryani",800,Delivery
1269,Laddoos,Yes,No,3.4,276,BTM,"Quick Bites, Dessert Parlor","North Indian, Street Food, Mithai",250,Delivery
1270,Smoke Oil Salt,Yes,No,0.0,0,BTM,Quick Bites,Arabian,850,Delivery
1271,Momo King,Yes,No,0.0,0,Bannerghatta Road,Quick Bites,"Momos, Fast Food",200,Delivery
1272,New Prashanth Hotel,Yes,No,3.1,64,JP Nagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,Delivery
1273,Waffle Stories,Yes,No,4.0,69,BTM,Dessert Parlor,"Desserts, Beverages",300,Delivery
1274,Late Night,Yes,No,3.7,288,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",500,Delivery
1275,Kettle & Kegs,Yes,No,3.3,4,Bannerghatta Road,Delivery,"Tea, Beverages",200,Delivery
1276,Waffle Walle,Yes,No,4.3,676,Bannerghatta Road,Kiosk,"Desserts, Belgian, Beverages",500,Delivery
1277,Dakshin Cafe,Yes,No,4.1,140,JP Nagar,Quick Bites,South Indian,100,Delivery
1278,Shake It Off,Yes,No,4.0,65,JP Nagar,Beverage Shop,"Beverages, Fast Food",600,Delivery
1279,Bombay Kulfi,Yes,No,3.7,41,JP Nagar,Dessert Parlor,"Desserts, Ice Cream",150,Delivery
1280,Chaat Central,Yes,No,3.3,4,Bannerghatta Road,Food Court,"Street Food, North Indian",300,Delivery
1281,Two Friends Cauldron,Yes,Yes,4.1,448,JP Nagar,Casual Dining,"Continental, Italian, American",700,Delivery
1282,Bun Town,Yes,No,4.0,203,BTM,"Cafe, Bakery","Cafe, Bakery",500,Delivery
1284,Garden Fresh,Yes,No,3.9,50,BTM,Beverage Shop,"Healthy Food, Juices",200,Delivery
1285,Dhabeliwala,Yes,No,3.8,44,JP Nagar,Kiosk,"Street Food, Beverages, Gujarati",250,Delivery
1286,Rayaan's BBQ,Yes,No,3.3,6,BTM,Quick Bites,"North Indian, BBQ",350,Delivery
1287,Cafe Zuppa,Yes,No,0.0,0,JP Nagar,Cafe,"Cafe, Pizza, Fast Food",450,Delivery
1288,Chaat Junction,Yes,No,3.7,49,Bannerghatta Road,Quick Bites,Street Food,200,Delivery
1289,Asharfilal,Yes,No,3.5,10,Bannerghatta Road,Dessert Parlor,Desserts,150,Delivery
1290,Street Foods by Punjab Grill,Yes,No,3.6,19,Bannerghatta Road,Food Court,"Street Food, North Indian, Beverages",800,Delivery
1291,Tiwari's Ghee Paratha and Chats,Yes,No,3.2,6,JP Nagar,Quick Bites,"North Indian, Street Food",200,Delivery
1292,Spurthi Foods,Yes,No,3.7,71,BTM,"Takeaway, Delivery",Andhra,300,Delivery
1293,Melting Pot at Woodrose,Yes,No,3.7,19,JP Nagar,Quick Bites,North Indian,800,Delivery
1294,Pot Biryani,Yes,No,3.1,166,Bannerghatta Road,Quick Bites,"North Indian, Chinese, Biryani, Seafood",600,Delivery
1295,Thanco's Natural Ice Cream,Yes,No,3.6,27,BTM,Dessert Parlor,"Ice Cream, Desserts",450,Delivery
1296,Mango Tree- The Beer Garden,Yes,Yes,4.1,1320,JP Nagar,Casual Dining,"North Indian, Chinese, Continental",1200,Delivery
1297,Dessi Cuppa,Yes,No,3.4,4,BTM,"Quick Bites, Beverage Shop","Beverages, Fast Food",300,Delivery
1298,Halli Mane MUDDE OOTA,Yes,No,3.5,14,JP Nagar,Quick Bites,South Indian,300,Delivery
1302,Wow Vada Pav,Yes,No,3.3,46,Bannerghatta Road,Quick Bites,"Fast Food, Street Food",150,Delivery
1304,The Jade Kitchen,Yes,No,4.0,116,JP Nagar,Casual Dining,"Chinese, Thai",400,Delivery
1305,Krishna Vaibhava,Yes,No,3.5,40,BTM,Casual Dining,"North Indian, South Indian",350,Delivery
1307,Sandwichwallas,Yes,No,3.6,32,JP Nagar,Quick Bites,Fast Food,200,Delivery
1308,Drunken Monkey,Yes,No,4.4,288,Bannerghatta Road,"Beverage Shop, Quick Bites","Beverages, Fast Food",400,Delivery
1309,Woodee Pizza,Yes,No,2.7,85,JP Nagar,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Delivery
1310,Nandhanus Rasoi,Yes,No,3.4,9,Jayanagar,Quick Bites,"Chinese, Rolls, North Indian",200,Delivery
1311,Donne Biriyani Mane,Yes,No,3.2,6,Bannerghatta Road,Quick Bites,Biryani,350,Delivery
1312,Fish And Dish,Yes,No,3.6,22,JP Nagar,Quick Bites,"Mangalorean, Chinese",350,Delivery
1313,Miss Momo,Yes,No,3.2,12,BTM,Quick Bites,"Tibetan, Momos",250,Delivery
1314,Funky Punjab,Yes,No,3.9,124,BTM,Quick Bites,"North Indian, Chinese",400,Delivery
1315,Intalia,Yes,No,3.6,323,Bannerghatta Road,Food Court,"Pizza, Italian",800,Delivery
1316,Chicken County Restaurant,Yes,No,3.5,10,Bannerghatta Road,Casual Dining,"North Indian, Chinese, Fast Food",400,Delivery
1317,Velvet Kitchen,Yes,No,3.5,15,Bannerghatta Road,Casual Dining,"North Indian, Chinese",600,Delivery
1318,Hotel Aradhana,Yes,No,3.7,51,Bannerghatta Road,Quick Bites,North Indian,300,Delivery
1319,The Chervil,Yes,No,4.2,229,JP Nagar,Casual Dining,"North Indian, Continental",1000,Delivery
1320,Eatsomnia,Yes,No,0.0,0,JP Nagar,Delivery,"North Indian, South Indian, Chinese, Continental",500,Delivery
1321,Sri Rajasthani Foods,Yes,No,3.6,8,JP Nagar,Quick Bites,"Rajasthani, North Indian",200,Delivery
1322,New Royal Treat,Yes,No,2.8,102,Bannerghatta Road,Quick Bites,"North Indian, Chinese",350,Delivery
1323,I Cool,Yes,No,4.0,76,JP Nagar,Quick Bites,"Juices, Fast Food",150,Delivery
1324,The Kitchen,Yes,No,0.0,0,JP Nagar,Casual Dining,"North Indian, Andhra, Chinese",800,Delivery
1325,Mahek Pizza,Yes,No,3.9,38,JP Nagar,Quick Bites,Pizza,400,Delivery
1326,Asha Sweets Centre,Yes,No,3.9,42,JP Nagar,Dessert Parlor,Fast Food,250,Delivery
1327,KC Das- Sweet World,Yes,No,3.3,5,JP Nagar,"Sweet Shop, Quick Bites","Mithai, Street Food",200,Delivery
1328,Stoned Monkey,Yes,No,3.9,239,JP Nagar,Dessert Parlor,"Desserts, Ice Cream",500,Delivery
1329,Panther Cafe,Yes,No,3.5,8,BTM,Beverage Shop,Beverages,200,Delivery
1330,Udupi Upachar,Yes,No,3.3,12,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery
1331,Lassi Ghar,Yes,No,0.0,0,Bannerghatta Road,Beverage Shop,"Beverages, Ice Cream, Juices, Sandwich",150,Delivery
1332,Authentic Aandhra,Yes,No,0.0,0,BTM,Delivery,"Andhra, North Indian",300,Delivery
1333,Juicy Momos,Yes,No,3.1,21,Bannerghatta Road,Food Court,"Tibetan, Momos",250,Delivery
1334,Roots n Fruits,Yes,No,3.6,13,JP Nagar,Beverage Shop,"Beverages, Juices, Healthy Food",250,Delivery
1336,Kaizen Wellness Kitchen,Yes,No,3.7,37,JP Nagar,Casual Dining,"Asian, Continental, European",800,Delivery
1337,Big Mishra Pedha,Yes,No,3.3,7,Bannerghatta Road,Sweet Shop,"Mithai, Desserts, Fast Food",300,Delivery
1338,Mad Over Donuts,Yes,No,3.1,17,Bannerghatta Road,Dessert Parlor,"Bakery, Desserts, Beverages",450,Delivery
1339,Kolkata Famous Kati Rolls,Yes,No,3.1,25,Bannerghatta Road,"Takeaway, Delivery","Fast Food, Rolls",100,Delivery
1340,Vinaya Cafe,Yes,No,3.7,55,JP Nagar,Quick Bites,"South Indian, Street Food, Juices",200,Delivery
1341,RBP Greens Garden,Yes,No,2.7,48,BTM,Casual Dining,"North Indian, Chinese",700,Delivery
1343,Dazu Momoz,Yes,No,3.1,8,Bannerghatta Road,Kiosk,"Tibetan, Momos",200,Delivery
1344,Desi Dhaba,Yes,No,3.3,13,BTM,Delivery,"North Indian, Chinese",400,Delivery
1345,World of Waffles,Yes,No,3.9,178,JP Nagar,Dessert Parlor,Desserts,400,Delivery
1346,Pika's Kitchen,Yes,No,3.4,24,Bannerghatta Road,Casual Dining,"Continental, Italian",800,Delivery
1348,Lassi Cafe,Yes,No,3.4,16,Bannerghatta Road,Beverage Shop,"Beverages, Ice Cream",150,Delivery
1349,The London Shakes,Yes,No,0.0,0,BTM,Beverage Shop,"Beverages, Fast Food, Italian",400,Delivery
1350,New Mogul Empire,Yes,No,3.4,5,JP Nagar,Quick Bites,"North Indian, Chinese",300,Delivery
1351,Atithi Biryani Corner,Yes,No,3.3,4,JP Nagar,Quick Bites,"Biryani, South Indian",200,Delivery
1352,Oottupura Family Restaurant,Yes,No,3.4,224,Bannerghatta Road,Quick Bites,"Kerala, South Indian, Biryani",400,Delivery
1353,Tisano Cafe,Yes,No,3.8,54,Bannerghatta Road,Cafe,"Cafe, Fast Food, Chinese, Continental",500,Delivery
1354,Yumme Veg,Yes,No,3.6,14,Bannerghatta Road,"Takeaway, Delivery","Fast Food, Street Food",200,Delivery
1355,Shree Guru Raghavendra Chats Chintamani Special,Yes,No,3.6,26,Bannerghatta Road,Quick Bites,"Street Food, Fast Food",200,Delivery
1356,Vyanjan,Yes,No,3.9,199,BTM,Quick Bites,"North Indian, Street Food",300,Delivery
1357,Havmor,Yes,No,3.5,21,JP Nagar,Dessert Parlor,"Ice Cream, Desserts",200,Delivery
1358,Sri Sankara Cafe,Yes,No,3.6,26,BTM,Quick Bites,South Indian,100,Delivery
1359,Bhaijaan Barbeques,Yes,No,3.4,8,South Bangalore,Food Truck,"Mughlai, Arabian, BBQ",200,Delivery
1361,Sri Krishna Sagar,Yes,No,3.4,19,Kanakapura Road,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery
1362,Chatter Platter,Yes,No,3.5,28,BTM,Quick Bites,"Street Food, North Indian",300,Delivery
1363,Momo Time,Yes,No,0.0,0,Bannerghatta Road,Quick Bites,"Momos, American",600,Delivery
1364,Bikaneri Sweets,Yes,No,3.4,19,Bannerghatta Road,Sweet Shop,"Mithai, Street Food",250,Delivery
1365,Watson's,Yes,Yes,4.0,1010,JP Nagar,"Pub, Bar","Finger Food, Chinese, Continental",1300,Delivery
1366,Sri Nandi Grand,Yes,No,3.4,6,BTM,Quick Bites,"North Indian, South Indian",300,Delivery
1367,Chicken Man,Yes,Yes,3.8,72,JP Nagar,Quick Bites,"Roast Chicken, Burger",400,Delivery
1368,Only Sharjah,Yes,No,0.0,0,BTM,Beverage Shop,Beverages,200,Delivery
1369,Chef Baker's,Yes,No,3.6,23,Bannerghatta Road,"Bakery, Quick Bites",Bakery,450,Delivery
1370,Sree Ganesha Fruits & Juice,Yes,No,3.4,5,Bannerghatta Road,Beverage Shop,Juices,100,Delivery
1371,Goli Vada Pav No. 1,Yes,No,3.2,44,JP Nagar,Quick Bites,Street Food,200,Delivery
1372,Nandhana Palace,No,Yes,4.1,1000,Bannerghatta Road,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese",800,Delivery
1373,Happy Eats,Yes,No,0.0,0,JP Nagar,Delivery,"North Indian, Continental",300,Delivery
1374,Biryani Nights,Yes,No,3.6,19,Bannerghatta Road,Quick Bites,"South Indian, North Indian, Chinese",400,Delivery
1375,Thejas Bhavan,Yes,No,3.5,27,Bannerghatta Road,Quick Bites,"North Indian, South Indian, Chinese",400,Delivery
1377,Graffitea,Yes,No,3.7,16,BTM,"Beverage Shop, Quick Bites","Beverages, Fast Food",200,Delivery
1378,Gappe,Yes,No,3.8,32,Bannerghatta Road,Kiosk,Street Food,200,Delivery
1379,On The Nose,Yes,No,3.8,613,BTM,Cafe,"Cafe, Italian, Mexican, Chinese",600,Delivery
1380,Juicy & Spicy,Yes,No,3.1,4,JP Nagar,"Quick Bites, Beverage Shop","Bakery, Fast Food",150,Delivery
1381,Eat Repeat Express,Yes,No,3.2,20,JP Nagar,Casual Dining,"North Indian, South Indian, Chinese, Biryani, Mexican",700,Delivery
1382,TFI - The Fresh Ice Cream,Yes,No,3.2,41,Bannerghatta Road,Dessert Parlor,"Ice Cream, Beverages",400,Delivery
1383,Mirch Masala,Yes,No,3.4,6,JP Nagar,Quick Bites,North Indian,500,Delivery
1384,Just Chill,Yes,No,3.4,54,BTM,Beverage Shop,Beverages,250,Delivery
1386,BEIR,No,No,0.0,0,Bannerghatta Road,Casual Dining,"Mexican, American",800,Delivery
1387,Bengalooru Tiffany's,Yes,No,3.0,38,JP Nagar,Quick Bites,"South Indian, North Indian, Chinese, Street Food",400,Delivery
1388,Udupi Thaja Thindi,Yes,No,2.9,42,BTM,Quick Bites,"North Indian, South Indian, Chinese, Fast Food",250,Delivery
1390,Baba Ka Dhaba,Yes,No,3.7,194,BTM,Quick Bites,North Indian,400,Delivery
1391,Hot Burg,Yes,No,3.5,51,Bannerghatta Road,Quick Bites,"Fast Food, Juices",200,Delivery
1392,Northern Bites,Yes,No,3.3,50,Bannerghatta Road,Casual Dining,"North Indian, Chinese",400,Delivery
1393,Hotel Smile,Yes,No,3.1,6,Jayanagar,Casual Dining,"North Indian, Chinese",400,Delivery
1394,Roll Wala,Yes,No,3.3,7,JP Nagar,"Takeaway, Delivery","Rolls, Juices",300,Delivery
1395,Natural Ice Cream,No,No,4.3,423,Bannerghatta Road,Dessert Parlor,"Ice Cream, Desserts",150,Delivery
1396,Biriyani Mane,Yes,No,3.7,158,Jayanagar,Casual Dining,"Biryani, Chinese, North Indian",700,Delivery
1397,F3 Food Fun Fiesta,Yes,No,3.3,31,Bannerghatta Road,"Takeaway, Delivery","Chinese, Fast Food, North Indian",500,Delivery
1398,Churchill's,Yes,Yes,4.1,1403,JP Nagar,"Casual Dining, Pub","North Indian, Continental",1100,Delivery
1401,Kulkarni's New Uttara Karnataka Food Speciality Stores,Yes,No,3.4,6,JP Nagar,Quick Bites,South Indian,250,Delivery
1402,The Hungers Zone,Yes,No,3.8,57,BTM,Quick Bites,"Fast Food, Italian, Pizza",300,Delivery
1403,Brew Point,Yes,No,3.6,10,JP Nagar,Cafe,"Cafe, American, Burger, Sandwich, Fast Food",500,Delivery
1404,The Chocolate Room,Yes,No,3.9,153,JP Nagar,Food Court,"Cafe, Desserts",400,Delivery
1405,Aramane Restaurant,Yes,Yes,2.9,90,Bannerghatta Road,Casual Dining,"North Indian, South Indian, Seafood, Biryani, Chinese",800,Delivery
1406,Cookie Man,Yes,No,0.0,0,Bannerghatta Road,Dessert Parlor,Bakery,150,Delivery
1407,Hunger2Eat,Yes,No,3.8,27,BTM,Quick Bites,"Biryani, Fast Food, North Indian",400,Delivery
1408,BBQ Ride 46,Yes,No,3.4,7,South Bangalore,Food Truck,BBQ,200,Delivery
1409,Bawarchi Inn,Yes,No,3.1,140,BTM,Casual Dining,"North Indian, Biryani, Andhra, Chinese",600,Delivery
1410,Ruh's Cafe,Yes,No,4.1,463,BTM,Cafe,"Cafe, American, Italian, Continental, Chinese",500,Delivery
1411,Eatery Have U Been,Yes,No,3.4,36,BTM,"Cafe, Quick Bites","Cafe, Chinese, Fast Food, Burger, North Indian",500,Delivery
1412,Mojo Pizza - 2X Toppings,Yes,No,4.2,384,Bannerghatta Road,"Takeaway, Delivery",Pizza,600,Delivery
1413,Upahar Banashree,Yes,No,3.4,18,Bannerghatta Road,Quick Bites,"South Indian, North Indian",400,Delivery
1414,Petoo,Yes,No,0.0,0,BTM,Quick Bites,"North Indian, Fast Food, Beverages",400,Delivery
1415,Me And My Cake,Yes,No,3.1,8,JP Nagar,Takeaway,"Bakery, Desserts",500,Delivery
1416,Bhojon Tripti,Yes,No,2.9,24,Bannerghatta Road,Quick Bites,"Bengali, North Indian",300,Delivery
1417,New South Corner,Yes,No,3.7,20,BTM,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery
1418,Khana Khazana,Yes,No,3.7,22,Bannerghatta Road,Delivery,North Indian,400,Delivery
1419,China Tang,Yes,No,3.7,41,BTM,"Takeaway, Delivery",Chinese,600,Delivery
1420,California Burrito,No,No,4.0,177,Bannerghatta Road,Quick Bites,"Mexican, Fast Food",400,Delivery
1421,Hungry Haters,Yes,No,0.0,0,JP Nagar,Takeaway,"Chinese, North Indian",300,Delivery
1422,Tandoor Garden,Yes,No,3.6,70,BTM,Quick Bites,"North Indian, Chinese, Kebab",350,Delivery
1423,Caffe Pascucci,Yes,Yes,4.0,790,JP Nagar,Casual Dining,"Continental, Italian, Beverages",1300,Delivery
1424,Freeze It,Yes,No,3.6,6,BTM,Dessert Parlor,Ice Cream,300,Delivery
1425,Meal Square,Yes,No,3.2,8,Bannerghatta Road,Delivery,"North Indian, Chinese",600,Delivery
1426,Chaitanya Cafe,Yes,No,3.9,92,JP Nagar,Quick Bites,"South Indian, North Indian, Fast Food",300,Delivery
1427,Anand Sweets and Savouries,No,No,4.1,131,Bannerghatta Road,Sweet Shop,"Mithai, Street Food",400,Delivery
1429,Tasty Jigarthanda,Yes,No,3.4,10,BTM,Beverage Shop,"Beverages, Ice Cream",150,Delivery
1430,Berrylicious,Yes,No,3.8,89,JP Nagar,Dessert Parlor,"Ice Cream, Desserts, Bakery",400,Delivery
1431,RCS Kitchen,Yes,No,3.3,34,BTM,Quick Bites,Continental,500,Delivery
1432,Pappu Da Dhaba,Yes,No,3.0,57,Jayanagar,Quick Bites,"North Indian, Fast Food, Beverages, Momos",400,Delivery
1433,Smoke - The Sizzler House,Yes,No,3.8,92,Bannerghatta Road,Food Court,"Continental, Chinese, Thai, Italian, BBQ, Steak",1100,Delivery
1434,Sandwich Shop,Yes,No,2.9,47,JP Nagar,Delivery,"Fast Food, Burger, Sandwich",400,Delivery
1435,Joon Restaurant,Yes,No,3.7,31,BTM,Quick Bites,"Arabian, Chinese, North Indian, Kerala, Juices",400,Delivery
1436,Shree Udupi Grand,Yes,No,3.8,14,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese",600,Delivery
1437,Snack Knack,Yes,No,3.0,36,BTM,Quick Bites,"North Indian, Chinese",200,Delivery
1438,Chung Wah Opus,Yes,No,3.0,57,JP Nagar,Casual Dining,"Chinese, Thai",650,Delivery
1439,Chef & Dine,Yes,No,3.2,57,Bannerghatta Road,Casual Dining,"North Indian, Arabian, Fast Food",650,Delivery
1441,Once In Nature,Yes,No,3.7,37,JP Nagar,Quick Bites,Healthy Food,300,Delivery
1442,Manjushree Upahara,Yes,No,3.8,31,Bannerghatta Road,Quick Bites,South Indian,150,Delivery
1443,Hotel Annapoorna,Yes,No,3.2,9,Bannerghatta Road,Quick Bites,"South Indian, Chinese, North Indian, Seafood",400,Delivery
1444,Dream a Dozen,Yes,No,4.3,133,JP Nagar,Delivery,"Bakery, Desserts",300,Delivery
1445,Bread Crumbs Bakery,No,No,4.0,164,Bannerghatta Road,Bakery,"Desserts, Bakery",250,Delivery
1446,Nite Out,Yes,No,3.9,161,JP Nagar,Delivery,"North Indian, Chinese, Biryani",500,Delivery
1448,Cupcake Bliss,Yes,No,3.5,9,BTM,Delivery,Bakery,250,Delivery
1449,Armaani Caffe,Yes,No,3.5,12,BTM,Quick Bites,Fast Food,250,Delivery
1450,Muddhe Bytes,Yes,No,3.4,9,Bannerghatta Road,Quick Bites,"South Indian, Biryani",300,Delivery
1451,The Paratha Stories,Yes,No,0.0,0,JP Nagar,Quick Bites,North Indian,250,Delivery
1453,Calvin's,Yes,No,0.0,0,Bommanahalli,"Takeaway, Delivery","Desserts, Italian, Pizza",800,Delivery
1454,Yummy Momos,Yes,No,0.0,0,Bannerghatta Road,Quick Bites,"Momos, Tibetan, Chinese",200,Delivery
