,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
48315,KKR FOODIES,Yes,Yes,3.3,60,St. Marks Road,Quick Bites,"Fast Food, North Indian",400,Dine-out
48317,Fresh Pressery Cafe,No,No,4.0,105,Lavelle Road,"Cafe, Quick Bites","Cafe, Italian, Healthy Food",1200,Dine-out
48321,The CafSaanchi,No,No,4.0,33,Richmond Road,Cafe,Cafe,800,Dine-out
48322,Skyline Family Restaurant,Yes,No,3.2,34,Shanti Nagar,Casual Dining,"North Indian, Chinese, Seafood, Mangalorean",550,Dine-out
48325,Aqua - The Park Bangalore,No,Yes,4.0,197,MG Road,"Lounge, Bar","North Indian, Mediterranean, Chinese",3000,Dine-out
48336,Haldiram's Express,No,No,3.6,44,Brigade Road,Kiosk,North Indian,300,Dine-out
48338,Rahhams,Yes,No,2.6,313,Shanti Nagar,Casual Dining,"Mughlai, North Indian, Chinese",700,Dine-out
48346,Beijing Bites,Yes,No,3.8,266,Richmond Road,Casual Dining,"Chinese, Thai",850,Dine-out
48348,Pind Balluchi,No,Yes,4.0,1025,Brigade Road,Casual Dining,"North Indian, Mughlai, Kebab",700,Dine-out
48352,Cafe 22,No,No,2.9,12,Church Street,Cafe,"Cafe, Fast Food",700,Dine-out
48355,Desi Deck,Yes,Yes,3.9,94,Brigade Road,"Casual Dining, Bar","Mughlai, North Indian, Desserts",1300,Dine-out
48358,White Plate,No,Yes,4.2,264,MG Road,"Casual Dining, Bar","Thai, Continental, North Indian",1500,Dine-out
48373,Bazaar- Zone By The Park,No,Yes,3.8,53,Infantry Road,Casual Dining,"Continental, South Indian, North Indian, Asian",1100,Dine-out
48387,Nandhini Paradise,No,Yes,3.6,279,St. Marks Road,"Casual Dining, Bar","Andhra, Chinese, North Indian",800,Dine-out
48408,Woody's,No,No,2.3,118,Richmond Road,Casual Dining,"Chinese, South Indian, North Indian",650,Dine-out
48414,Vinny's,Yes,No,3.9,218,Brigade Road,Casual Dining,"Pizza, Italian, Continental, Desserts",800,Dine-out
48416,The Coffee Bean & Tea Leaf,Yes,No,3.8,263,MG Road,Cafe,Cafe,700,Dine-out
48428,Glen's Bakehouse,Yes,No,4.4,1115,Lavelle Road,"Bakery, Cafe","Bakery, Cafe, Italian, Desserts",600,Dine-out
48430,Airlines Hotel,Yes,No,4.0,872,Lavelle Road,Quick Bites,"South Indian, North Indian, Street Food",400,Dine-out
48431,Siddiqu Kabab Center,No,No,4.4,181,Richmond Road,Quick Bites,"Kebab, Rolls",250,Dine-out
48432,The Bundle Co.,Yes,No,4.4,232,MG Road,Quick Bites,"Burger, Continental, Italian, Beverages",700,Dine-out
48433,Khazana Food Paradise,No,No,4.2,366,Richmond Road,Quick Bites,"North Indian, Biryani",400,Dine-out
48434,Mandarin Box,No,No,3.9,85,Church Street,Quick Bites,Chinese,500,Dine-out
48436,99 Pancakes,Yes,No,4.1,48,Church Street,Dessert Parlor,"Desserts, Ice Cream",300,Dine-out
48438,Lakeview Milkbar,No,No,4.0,1469,MG Road,"Dessert Parlor, Cafe","Desserts, Fast Food, Beverages",450,Dine-out
48439,Taco Bell,Yes,No,3.9,37,Brigade Road,Quick Bites,"Mexican, American, Fast Food",600,Dine-out
